n_agents,movement_saturation,relative_leader_influence,conversion_rate,run_id,aggregation_method,signal_representation
50,40,50,0.5666666666666667,5,sum-linear,binary
50,40,50,0.5,6,sum-linear,binary
50,40,50,0.43333333333333335,7,sum-linear,binary
50,40,50,0.36666666666666664,8,sum-linear,binary
50,40,50,0.43333333333333335,9,sum-linear,binary
50,40,50,0.5666666666666667,10,sum-linear,binary
50,45,50,0.4444444444444444,1,sum-linear,binary
50,45,50,0.5185185185185185,2,sum-linear,binary
50,45,50,0.6666666666666666,3,sum-linear,binary
50,45,50,0.4074074074074074,4,sum-linear,binary
50,45,50,0.5925925925925926,5,sum-linear,binary
50,45,50,0.6296296296296297,6,sum-linear,binary
50,45,50,0.6666666666666666,7,sum-linear,binary
50,45,50,0.5925925925925926,8,sum-linear,binary
50,45,50,0.5185185185185185,9,sum-linear,binary
50,45,50,0.48148148148148145,10,sum-linear,binary
50,50,50,0.64,1,sum-linear,binary
50,50,50,0.48,2,sum-linear,binary
50,50,50,0.6,3,sum-linear,binary
50,50,50,0.36,4,sum-linear,binary
50,50,50,0.76,5,sum-linear,binary
50,50,50,0.6,6,sum-linear,binary
50,50,50,0.64,7,sum-linear,binary
50,50,50,0.36,8,sum-linear,binary
50,50,50,0.4,9,sum-linear,binary
50,50,50,0.6,10,sum-linear,binary
50,55,50,0.5909090909090909,1,sum-linear,binary
50,55,50,0.3181818181818182,2,sum-linear,binary
50,55,50,0.4090909090909091,3,sum-linear,binary
50,55,50,0.5,4,sum-linear,binary
50,55,50,0.45454545454545453,5,sum-linear,binary
50,55,50,0.5,6,sum-linear,binary
50,55,50,0.7727272727272727,7,sum-linear,binary
50,55,50,0.4090909090909091,8,sum-linear,binary
50,55,50,0.4090909090909091,9,sum-linear,binary
50,55,50,0.5,10,sum-linear,binary
50,60,50,0.65,1,sum-linear,binary
50,60,50,0.5,2,sum-linear,binary
50,60,50,0.65,3,sum-linear,binary
50,60,50,0.65,4,sum-linear,binary
50,60,50,0.4,5,sum-linear,binary
50,60,50,0.7,6,sum-linear,binary
50,60,50,0.65,7,sum-linear,binary
50,60,50,0.65,8,sum-linear,binary
50,60,50,0.4,9,sum-linear,binary
50,60,50,0.55,10,sum-linear,binary
50,65,50,0.4117647058823529,1,sum-linear,binary
50,65,50,0.4117647058823529,2,sum-linear,binary
50,65,50,0.4117647058823529,3,sum-linear,binary
50,65,50,0.7058823529411765,4,sum-linear,binary
50,65,50,0.47058823529411764,5,sum-linear,binary
50,65,50,0.6470588235294118,6,sum-linear,binary
50,65,50,0.8235294117647058,7,sum-linear,binary
50,65,50,0.8235294117647058,8,sum-linear,binary
50,65,50,0.7647058823529411,9,sum-linear,binary
50,65,50,0.4117647058823529,10,sum-linear,binary
50,70,50,0.4666666666666667,1,sum-linear,binary
50,70,50,0.8,2,sum-linear,binary
50,70,50,0.8,3,sum-linear,binary
50,70,50,0.7333333333333333,4,sum-linear,binary
50,70,50,0.6666666666666666,5,sum-linear,binary
50,70,50,0.4666666666666667,6,sum-linear,binary
50,70,50,0.3333333333333333,7,sum-linear,binary
50,70,50,0.7333333333333333,8,sum-linear,binary
50,70,50,0.6666666666666666,9,sum-linear,binary
50,70,50,0.6666666666666666,10,sum-linear,binary
50,75,50,0.5,1,sum-linear,binary
50,75,50,0.5833333333333334,2,sum-linear,binary
50,75,50,0.5,3,sum-linear,binary
50,75,50,0.5,4,sum-linear,binary
50,75,50,0.3333333333333333,5,sum-linear,binary
50,75,50,0.75,6,sum-linear,binary
50,75,50,0.5,7,sum-linear,binary
50,75,50,0.6666666666666666,8,sum-linear,binary
50,75,50,0.5833333333333334,9,sum-linear,binary
50,75,50,0.8333333333333334,10,sum-linear,binary
50,80,50,0.5,1,sum-linear,binary
50,80,50,0.7,2,sum-linear,binary
50,80,50,0.7,3,sum-linear,binary
50,80,50,0.6,4,sum-linear,binary
50,80,50,0.6,5,sum-linear,binary
50,80,50,0.8,6,sum-linear,binary
50,80,50,0.4,7,sum-linear,binary
50,80,50,0.9,8,sum-linear,binary
50,80,50,0.6,9,sum-linear,binary
50,80,50,0.9,10,sum-linear,binary
50,85,50,0.7142857142857143,1,sum-linear,binary
50,85,50,0.5714285714285714,2,sum-linear,binary
50,85,50,0.2857142857142857,3,sum-linear,binary
50,85,50,0.2857142857142857,4,sum-linear,binary
50,85,50,0.7142857142857143,5,sum-linear,binary
50,85,50,0.42857142857142855,6,sum-linear,binary
